MPN001	692	1834	+
MPN002	1838	2767	+
MPN003	2869	4821	+
MPN004	4821	7340	+
MPN005	7312	8574	+
MPN006	8549	9211	+
MPN007	9184	9945	+
MPN008	9947	11275	+
MPN009	11275	12060	+
MPN010	12392	12652	+
MPN011	12838	13533	-
MPN012	13558	14265	-
MPN013	15088	15765	+
MPN014	15939	16505	+
MPN015	16482	17339	-
MPN016	17339	18205	-
MPN017	18180	18989	-
MPN018	19325	21196	+
MPN019	21108	23012	+
MPN020	23022	26114	+
MPN021	26160	27332	+
MPN022	27316	28245	+
MPN023	28245	29783	+
MPN024	29804	30244	+
MPN025	30244	31110	+
MPN026	31111	32199	+
MPN027	32202	33026	-
MPN028	33059	33958	+
MPN029	33979	34551	+
MPN030	34469	34975	+
MPN031	34975	35586	+
MPN032	35810	36136	-
MPN033	36140	36760	-
MPN034	36800	41131	-
MPN035	41409	43409	+
MPN036	43581	45602	+
MPN037	45770	46213	+
MPN037a	45736	46068	-
MPN038	46442	46711	-
MPN039	47194	48210	+
MPN040	48105	48416	-
MPN041	48670	49230	+
MPN042	49292	51310	+
MPN043	51634	52428	+
MPN044	52475	53050	-
MPN045	53077	54321	+
MPN046	54293	55966	+
MPN047	55942	57297	+
MPN048	57508	59442	+
MPN049	59619	61517	+
MPN050	61977	63503	-
MPN051	63494	64648	-
MPN052	64831	66804	+
MPN053	66822	67088	+
MPN054	68627	68998	+
MPN055	70404	72086	+
MPN056	72088	72948	+
MPN057	72941	73801	+
MPN058	73786	75243	+
MPN059	75243	76202	+
MPN060	76186	77337	+
MPN060b	77280	77594	+
MPN061	77625	78977	-
MPN062	79033	79749	+
MPN063	79753	80427	+
MPN064	80414	81679	+
MPN065	81690	82091	+
MPN066	82081	83745	+
MPN067	83713	84675	-
MPN068	84683	85060	-
MPN069	85066	85212	-
MPN070	85228	85611	-
MPN071	85598	86428	-
MPN072	86410	86946	-
MPN073	86925	88091	-
MPN073.1	86925	87959	-
MPN074	87898	88341	-
MPN075	88348	89247	+
MPN076	89299	90993	-
MPN077	91199	92884	-
MPN078	93191	95275	+
MPN079	95268	96170	+
MPN080	96407	100567	+
MPN081	100567	101964	+
MPN082	101985	103931	+
MPN083	103941	105542	+
MPN084	105592	107166	+
MPN085	107273	108595	+
MPN086	108857	109174	+
MPN087	109346	109798	+
MPN088	110813	111118	+
MPN089	111610	112617	+
MPN090	112772	113761	+
MPN091	113838	114254	+
MPN092	114572	115093	+
MPN093	114948	115853	+
MPN094	116455	116709	+
MPN095	123290	124054	+
MPN096	124054	124848	+
MPN097	125024	126649	+
MPN098	126947	127390	+
MPN099	128076	129119	+
MPN100	129626	130009	+
MPN101	130466	131752	+
MPN102	132568	133386	+
MPN103	134055	134573	-
MPN104	134583	134897	+
MPN104b	135088	135360	+
MPN105	135731	136756	+
MPN106	136759	139176	+
MPN107	139289	140044	+
MPN108	140046	141260	+
MPN109	141940	142437	+
MPN110	142361	144517	+
MPN111	145021	146289	+
MPN112	147149	147541	+
MPN113	148090	148761	+
MPN114	148751	150553	+
MPN115	150643	151248	+
MPN116	151254	151433	+
MPN117	151444	151827	+
MPN118	151802	152512	-
MPN119	152568	155300	+
MPN120	155323	155976	+
MPN121	155976	156341	+
MPN122	156467	158374	+
MPN123	158374	160743	+
MPN124	160730	161785	-
MPN125	161817	163577	+
MPN126	163613	164092	+
MPN127	164628	165026	+
MPN128	166483	166932	+
MPN129	167632	168081	+
MPN130	169042	169464	+
MPN130.1	169210	169464	+
MPN131	170068	170733	+
MPN132	171049	171819	+
MPN133	172277	173182	+
MPN134	173206	174966	+
MPN135	174959	175948	+
MPN136	175920	176879	+
MPN137	177457	178143	-
MPN138	178392	178892	-
MPN139	179129	179620	-
MPN140	179871	180845	+
MPN141	180858	185741	+
MPN142	185747	189403	+
MPN143	189520	190047	+
MPN144	190621	191862	+
MPN145	192349	192753	+
MPN146	193071	193868	+
MPN147	193875	195332	+
MPN148	195539	196297	+
MPN149	196850	198154	+
MPN150	197982	198656	+
MPN151	199139	199540	+
MPN152	199823	202207	+
MPN153	202383	205724	+
MPN154	205801	207423	+
MPN155	207704	209557	+
MPN155a	207448	207717	+
MPN156	209560	209910	+
MPN157	209926	211134	+
MPN158	211147	211956	+
MPN159	211982	213256	+
MPN160	213243	214376	+
MPN161	214530	215867	+
MPN162	215989	216951	+
MPN163	217150	217536	+
MPN164	217630	217956	+
MPN165	217970	218833	+
MPN166	218833	219471	+
MPN167	219474	220187	+
MPN168	220187	221050	+
MPN169	221050	221313	+
MPN170	221240	221794	+
MPN171	221796	222617	+
MPN172	222617	223036	+
